match id,team1,team2,winner,by,win amount,toss winner,toss decision,venue,city,match_dt,lighting,series_name,season,ground_id,umpire1,umpire2,inning1_runs,inning1_wickets,inning1_balls,inning2_runs,inning2_wickets,inning2_balls,team1_id,team1_roster_ids,team2_id,team2_roster_ids,series_type,winner_id,player_of_the_match_id
8764419,An,Ze,An,runs,48,Ze,field,Sh Zd Sm,Abu Dhabi,3/17/2021,day match,An tr of Ud Ab Es Mr 21,2020/21,13768,Am Dr,Ih Si,198,5,131,150,7,122,293,6818622.0:5554282.0:2244577.0:181404.0:5554254.0:3668356.0:4980926.0:3086803.0:2815728.0:5554142.0:3976965.0,76,4996690.0:4174638.0:391103.0:2097017.0:3471761.0:1648625.0:6572726.0:2750628.0:5643686.0:5789370.0:5643700.0,international,293,6818622
8764426,An,Ze,An,runs,45,An,bat,Sh Zd Sm,Abu Dhabi,3/19/2021,day match,An tr of Ud Ab Es Mr 21,2020/21,13768,Ad Sh Di,Am Dr,193,5,126,148,10,108,293,6818622.0:4980926.0:5554282.0:3668356.0:181404.0:2244577.0:5554254.0:3086803.0:2815728.0:5554142.0:3976965.0,76,4996690.0:4174638.0:391103.0:6572726.0:2097017.0:1648625.0:3471761.0:2750628.0:5643686.0:5789370.0:5643700.0,international,293,181404
8764433,An,Ze,An,runs,47,An,bat,Sh Zd Sm,Abu Dhabi,3/20/2021,day match,An tr of Ud Ab Es Mr 21,2020/21,13768,Am Dr,Ih Si,183,7,124,136,5,122,293,6818622.0:4980926.0:5554282.0:3668356.0:181404.0:2244577.0:5554254.0:4433547.0:3086803.0:5554142.0:6819238.0,76,4996690.0:4174638.0:391103.0:6662480.0:2097017.0:1648625.0:3471761.0:7859970.0:4001934.0:5789370.0:5643700.0,international,293,3668356
8729202,Id Ud,Le Qs,Le Qs,wickets,5,Le Qs,field,Sh Zd Sm Au Di,Abu Dhabi,6/9/2021,night match,Le Qs tr of Ud Ab Es,2021,13768,Am Dr,Rd Rz,143,9,123,144,5,121,40578,1506098.0:1626526.0:7646204.0:6460614.0:3364234.0:4397693.0:3459623.0:4767832.0:4769148.0:8298779.0:1684276.0,40606,3585350.0:3726981.0:8527595.0:290051.0:2720759.0:6249256.0:5554254.0:1893401.0:7507303.0:8746961.0:8131255.0,international,40606,5554254
8729188,Mn Ss,Ki Ks,Mn Ss,runs,12,Ki Ks,field,Sh Zd Sm Au Di,Abu Dhabi,6/10/2021,day/night match,Mn Ss tr of Ud Ab Es,2021,13768,Am Dr,Sb Ra,176,5,123,164,7,126,44904,6818622.0:2263736.0:302875.0:2231928.0:4690188.0:5017144.0:302868.0:2220777.0:284339.0:8427978.0:2214554.0,40564,1594347.0:2437021.0:1585457.0:3668356.0:2209115.0:1634611.0:1594319.0:8298338.0:3734940.0:2036649.0:7913254.0,international,44904,2231928
8729195,Le Qs,Pr Zi,Le Qs,runs,10,Pr Zi,field,Sh Zd Sm Au Di,Abu Dhabi,6/10/2021,night match,Pr Zi tr of Ud Ab Es,2021,13768,Af Yb,Rd Rz,170,8,124,160,8,123,40606,3585350.0:3726981.0:8527595.0:290051.0:2720759.0:6249256.0:5554254.0:1893401.0:8746961.0:7507303.0:8131255.0,40550,287209.0:8180570.0:298612.0:2252452.0:5742470.0:6401800.0:4690104.0:305143.0:3003867.0:8638790.0:3009880.0,international,40606,5554254
8729209,Qa Gs,Id Ud,Id Ud,wickets,10,Id Ud,field,Sh Zd Sm Au Di,Abu Dhabi,6/11/2021,night match,Qa Gs tr of Ud Ab Es,2021,13768,Am Dr,Sb Ra,133,10,127,137,0,65,40592,7864009.0:313809.0:5469008.0:1594333.0:7960847.0:1934099.0:2437049.0:3995991.0:8116478.0:8106713.0:3035311.0:8106629.0,40578,1506098.0:1626526.0:6460614.0:4397693.0:3364234.0:3459623.0:7507317.0:7646204.0:4769148.0:8425696.0:8298779.0,international,40578,1626526
8729223,Pr Zi,Qa Gs,Pr Zi,runs,61,Qa Gs,field,Sh Zd Sm Au Di,Abu Dhabi,6/12/2021,night match,Qa Gs tr of Ud Ab Es,2021,13768,An Ra,Sb Ra,197,5,126,136,9,124,40550,8180570.0:287209.0:298612.0:2252452.0:5742470.0:6401800.0:4690104.0:305143.0:3003867.0:8638790.0:3009880.0,40592,8127230.0:7864009.0:5469008.0:7960847.0:2259683.0:1594333.0:2437049.0:8116478.0:8106713.0:3035311.0:4985546.0:313809.0,international,40550,2252452
8729216,Id Ud,Le Qs,Id Ud,runs,28,Id Ud,bat,Sh Zd Sm Au Di,Abu Dhabi,6/13/2021,day/night match,Le Qs tr of Ud Ab Es,2021,13768,Af Yb,Sb Ra,152,7,123,124,10,113,40578,1506098.0:1626526.0:7646204.0:4397693.0:6460614.0:3364234.0:3459623.0:8298779.0:7507317.0:1684276.0:6489846.0,40606,3585350.0:3726981.0:3641294.0:290051.0:2720759.0:6249256.0:5554254.0:1893401.0:7507303.0:8746961.0:8131255.0,international,40578,3459623
8729230,Pr Zi,Mn Ss,Mn Ss,wickets,8,Mn Ss,field,Sh Zd Sm Au Di,Abu Dhabi,6/13/2021,night match,Pr Zi tr of Ud Ab Es,2021,13768,An Ra,Am Dr,166,7,126,167,2,104,40550,8180570.0:287209.0:298612.0:2252452.0:5742470.0:6401800.0:4690104.0:305143.0:3003867.0:3009880.0:8638790.0,44904,1637320.0:2263736.0:302875.0:2231928.0:4690188.0:5017144.0:302868.0:5789370.0:8427978.0:2214554.0:284339.0,international,44904,8427978
